[2025-08-01 22:12:55,199: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:12:55,199: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:12:55,199: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:12:56,961: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:12:56,961: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:12:56,961: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:12:56,961: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:12:56,961: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:12:57,703: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:24:16,610: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:24:16,626: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:24:16,626: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:24:16,641: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:24:20,132: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:24:20,132: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:24:20,132: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:24:20,132: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:24:20,132: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:24:23,054: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:26:01,220: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:26:01,236: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:26:01,236: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:26:01,236: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:26:07,449: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:26:07,449: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:26:07,455: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:26:07,457: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:26:07,457: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:26:13,542: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:27:25,988: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:27:25,988: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:27:25,988: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:27:25,988: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:27:31,915: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:27:31,915: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:27:31,915: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:27:31,915: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:27:31,915: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:27:31,915: INFO: stage_02_data_validation: Error at stage Name : Data Validation]
[2025-08-01 22:27:31,915: INFO: main: exceptions must derive from BaseException]
[2025-08-01 22:27:52,030: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:27:52,030: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:27:52,030: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:27:52,063: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:27:55,622: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
